                                       title                                       | production_year 
-----------------------------------------------------------------------------------+-----------------
 Odd                                                                               |                
 The Courtship of Eddie's Father                                                   |                
 Wild on Spring Break 2001                                                         |                
 The Croods 2                                                                      |            2018
 Mom and Dad                                                                       |            2017
 Southern Fury                                                                     |            2017
 Vengeance: A Love Story                                                           |            2017
 (2016-03-26)                                                                      |            2016
 Army of One                                                                       |            2016
 Avortement génocidaire - SLG Shot #3                                              |            2016
 Dog Eat Dog                                                                       |            2016
 Left Behind                                                                       |            2016
 Snowden                                                                           |            2016
 The Trust                                                                         |            2016
 USS Indianapolis: Men of Courage                                                  |            2016
 (2015-10-09)                                                                      |            2015
 Mega Man VS Astro Boy                                                             |            2015
 Pay the Ghost                                                                     |            2015
 The Death of "Superman Lives": What Happened?                                     |            2015
 The Runner                                                                        |            2015
 (2014-04-11)                                                                      |            2014
 (2014-04-19)                                                                      |            2014
 (#9.25)                                                                           |            2014
 Disney Afternoon                                                                  |            2014
 Dying of the Light                                                                |            2014
 Left Behind                                                                       |            2014
 Major Deegan Pilot                                                                |            2014
 Mojado Mexican                                                                    |            2014
 Nicolas Cage/Emily VanCamp/Kiss                                                   |            2014
 Nicolas Cage/Whoopi Goldberg                                                      |            2014
 Outcast                                                                           |            2014
 Sunrise                                                                           |            2014
 SXSW Flashback 2014                                                               |            2014
 Tokarev                                                                           |            2014
 (#1.22)                                                                           |            2013
 (2013-04-04)                                                                      |            2013
 (2013-04-08)                                                                      |            2013
 (2013-04-25)                                                                      |            2013
 (2013-07-22)                                                                      |            2013
 (#5.80)                                                                           |            2013
 (#8.22)                                                                           |            2013
 (#8.40)                                                                           |            2013
 Bedazzled                                                                         |            2013
 Daring Death                                                                      |            2013
 Help!                                                                             |            2013
 Joe                                                                               |            2013
 My Son My Son What Have Ye Done?                                                  |            2013
 Stolen: Behind the Scenes                                                         |            2013
 Stolen: Cast and Crew Interviews                                                  |            2013
 Superheroes: From Page to Screen                                                  |            2013
 The Croods                                                                        |            2013
 The Frozen Ground                                                                 |            2013
 The Making of 'Stolen'                                                            |            2013
 The Wicker Man                                                                    |            2013
 (#19.88)                                                                          |            2012
 (2012-02-15)                                                                      |            2012
 (2012-02-17)                                                                      |            2012
 (2012-02-18)                                                                      |            2012
 (2012-02-24)                                                                      |            2012
 (2012-06-28)                                                                      |            2012
 (#4.26)                                                                           |            2012
 (#7.17)                                                                           |            2012
 Adam Lambert/Nicolas Cage/Demian Bichir/Jason Mraz                                |            2012
 A Thousand Words                                                                  |            2012
 Can't Stand Losing You                                                            |            2012
 Elvis Found Alive                                                                 |            2012
 Männer                                                                            |            2012
 RZA                                                                               |            2012
 Screwing School                                                                   |            2012
 Stolen                                                                            |            2012
 The Making of 'Seeking Justice'                                                   |            2012
 The Path to Vengeance: Making 'Ghost Rider, Spirit of Vengeance'                  |            2012
 Zooey Deschanel/Karmin                                                            |            2012
 (#1.54)                                                                           |            2011
 (2011-01-05)                                                                      |            2011
 (2011-01-05)                                                                      |            2011
 (2011-02-25)                                                                      |            2011
 (2011-03-04)                                                                      |            2011
 (#6.18)                                                                           |            2011
 Drive Angry                                                                       |            2011
 Ghost Rider: Spirit of Vengeance                                                  |            2011
 Nicolas Cage                                                                      |            2011
 Nicolas Cage/Deena Nicole Cortese/Holt McCallany                                  |            2011
 Saturday Night Live Backstage                                                     |            2011
 Scream Awards 2011                                                                |            2011
 Season of the Witch                                                               |            2011
 Seeking Justice                                                                   |            2011
 Trespass                                                                          |            2011
 Trespass: Inside the Thriller                                                     |            2011
 (#1.25)                                                                           |            2010
 (#1.41)                                                                           |            2010
 (#18.31)                                                                          |            2010
 (2010-06-24)                                                                      |            2010
 (2010-07-05)                                                                      |            2010
 (2010-07-07)                                                                      |            2010
 (2010-07-16)                                                                      |            2010
 (2010-07-19)                                                                      |            2010
 (#2.102)                                                                          |            2010
 (#5.31)                                                                           |            2010
 (#6.190)                                                                          |            2010
 (#8.154)                                                                          |            2010
 Despicable Me/The Kids Are All Right                                              |            2010
 Kick-Ass                                                                          |            2010
 MovieMash                                                                         |            2010
 Nicolas Cage/Steel Train                                                          |            2010
 The Sorcerer's Apprentice                                                         |            2010
 Was ich bin sind meine Filme - Teil 2... nach 30 Jahren                           |            2010
 With Great Power: The Stan Lee Story                                              |            2010
 (#1.108)                                                                          |            2009
 (#16.107)                                                                         |            2009
 (2009-01-20)                                                                      |            2009
 (2009-03-17)                                                                      |            2009
 (2009-03-18)                                                                      |            2009
 (2009-03-20)                                                                      |            2009
 (2009-03-27)                                                                      |            2009
 (2009-03-31)                                                                      |            2009
 (2009-05-21)                                                                      |            2009
 (2009-07-21)                                                                      |            2009
 (2009-09-10)                                                                      |            2009
 Astro Boy                                                                         |            2009
 G-Force                                                                           |            2009
 Knowing                                                                           |            2009
 Knowing                                                                           |            2009
 The Bad Lieutenant: Port of Call - New Orleans                                    |            2009
 Venice Film Festival 2009                                                         |            2009
 (#16.1)                                                                           |            2008
 (2008-01-02)                                                                      |            2008
 (2008-09-05)                                                                      |            2008
 Bangkok Dangerous                                                                 |            2008
 Del corto a Hollywood                                                             |            2008
 Knights of the Golden Circle                                                      |            2008
 Nicolas Cage/Vivica A. Fox/Delta Spirit                                           |            2008
 NT2: Crafting the Presidents' Book                                                |            2008
 NT2: Creating the London Chase                                                    |            2008
 NT2: Evolution of a Golden City                                                   |            2008
 NT2: Inside the Library of Congress                                               |            2008
 NT2: On Location                                                                  |            2008
 NT2: Secrets of a Sequel                                                          |            2008
 NT2: Set in History                                                               |            2008
 NT2: Underground Action                                                           |            2008
 Oscar, que empiece el espectáculo                                                 |            2008
 Pilot: Storm Front                                                                |            2008
 Roman Polanski: Wanted and Desired                                                |            2008
 Samuel L. Jackson: An American Cinematheque Tribute                               |            2008
 The Films of Jon Turteltaub                                                       |            2008
 (#14.100)                                                                         |            2007
 (#15.30)                                                                          |            2007
 (2007-01-30)                                                                      |            2007
 (2007-02-14)                                                                      |            2007
 (2007-02-25)                                                                      |            2007
 (2007-04-25)                                                                      |            2007
